player_id,name,age,nationality,height_cm,weight_kg,position,club,league,years_professional,matches_played,goals,assists,yellow_cards,red_cards,pass_accuracy,sprint_speed_kmh,max_jump_cm,vo2_max,agility_score,strength_index,stamina_rating,injury_prone_index,market_value_millions,annual_salary_millions,contract_expires,agent_fee_percentage,boot_sponsor,preferred_foot,aerial_duels_won_percentage,tackle_success_rate,shot_accuracy,penalties_scored,penalties_missed,clean_sheets,saves_percentage,training_attendance,tattoos,social_media_followers_millions,academy_graduate,international_caps,longest_goal_streak,trophies_won
FP029,Cristian Lopez,27,Mexico,175,71,Midfielder,Napoli,Serie A,8,218,31,62,35,2,89.7,31.7,69,62.5,8.8,7.6,8.9,2.0,31.5,5.9,2026,6.2,Nike,Left,56.8,77.5,66.9,2,1,0,0,98.1,Yes,17.3,No,65,2,3
FP030,Luka Novak,28,Slovenia,189,85,Goalkeeper,RB Leipzig,Bundesliga,9,259,0,0,8,0,75.2,28.9,83,56.1,7.3,8.7,8.3,1.7,29.7,6.1,2026,4.5,Adidas,Right,0,0,0,0,0,114,81.5,98.3,No,3.6,Yes,57,0,2
FP031,Ahmed Salah,25,Egypt,178,74,Forward,Leicester City,Premier League,7,174,76,34,19,1,83.4,32.7,72,63.2,9.2,7.7,8.6,2.2,43.8,7.6,2027,6.9,Nike,Right,62.1,44.8,72.5,11,1,0,0,97.3,Yes,31.2,No,46,6,2
FP032,Bryan Johnson,29,USA,185,79,Defender,Juventus,Serie A,10,257,4,16,61,5,87.6,30.2,78,58.5,7.9,9.0,8.4,3.0,32.1,6.5,2025,5.6,Nike,Right,79.8,85.7,39.2,0,0,72,0,96.7,No,12.8,No,67,1,4
FP033,Yuki Nakamura,24,Japan,173,68,Midfielder,Monaco,Ligue 1,6,154,28,47,21,0,91.5,32.0,69,64.8,9.7,7.1,9.2,1.6,37.9,5.8,2028,5.7,Mizuno,Right,54.2,82.1,65.9,2,0,0,0,99.3,No,8.4,Yes,27,2,1
FP034,Robert Jones,31,Wales,184,78,Forward,West Ham United,Premier League,12,289,112,53,39,3,84.1,30.5,74,58.6,8.0,8.2,8.0,3.1,21.3,4.3,2024,5.4,Adidas,Right,67.9,43.2,71.6,18,4,0,0,94.5,Yes,7.2,No,84,5,3
FP035,Ismail Karim,26,Morocco,179,75,Midfielder,Ajax,Eredivisie,7,192,33,68,29,1,90.1,31.4,72,62.3,8.7,7.8,8.8,2.3,28.9,5.2,2027,5.8,Puma,Right,59.4,81.2,64.3,3,1,0,0,98.4,No,14.5,No,41,3,2
FP036,Michael Schmidt,30,Germany,182,77,Midfielder,Borussia Dortmund,Bundesliga,11,272,46,87,47,2,91.9,30.4,73,59.8,8.4,8.0,8.5,2.7,32.6,7.5,2025,6.3,Adidas,Right,63.5,78.9,65.2,6,2,0,0,95.9,No,9.7,Yes,74,3,8
FP037,Emmanuel Okonkwo,23,Nigeria,187,83,Defender,AS Monaco,Ligue 1,5,134,2,9,31,3,86.8,31.1,82,61.2,7.8,9.1,8.7,1.8,41.2,6.3,2028,6.4,Puma,Right,83.1,84.9,37.8,0,0,46,0,98.6,Yes,7.5,No,18,1,1
FP038,Rafael Santos,27,Brazil,174,70,Forward,Flamengo,Brasileirão Série A,8,224,93,58,24,2,85.3,33.3,71,63.5,9.5,7.4,8.7,2.5,37.8,8.3,2026,7.3,Nike,Right,56.7,47.3,74.5,25,2,0,0,96.8,Yes,43.7,Yes,42,8,6
FP039,Johan Andersson,32,Sweden,188,84,Defender,PSG,Ligue 1,13,317,15,22,68,7,88.3,29.4,80,56.9,7.4,9.3,8.1,3.4,23.4,9.6,2024,5.3,Adidas,Right,82.5,86.1,41.7,1,0,92,0,94.2,No,6.8,No,97,1,11
FP040,Matteo Bianchi,25,Italy,181,76,Midfielder,Inter Milan,Serie A,7,197,37,73,32,1,92.2,31.5,73,63.7,8.9,7.8,9.1,1.9,49.5,8.5,2027,7.0,Puma,Right,60.3,80.4,66.2,4,1,0,0,98.9,No,15.2,Yes,31,3,4
